Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2082.11,2085.58,2057.94,2058.90,2606070000,2058.90
2014-12-30,2088.49,2088.49,2079.53,2080.35,2440280000,2080.35
2014-12-29,2087.63,2093.55,2085.75,2090.57,2452360000,2090.57
2014-12-26,2084.30,2092.70,2084.30,2088.77,1735230000,2088.77
2014-12-24,2083.25,2087.56,2081.86,2081.88,1416980000,2081.88
2014-12-23,2081.48,2086.73,2079.77,2082.17,3043950000,2082.17
2014-12-22,2069.28,2078.76,2069.28,2078.54,3369520000,2078.54
2014-12-19,2061.04,2077.85,2061.03,2070.65,6465530000,2070.65
2014-12-18,2018.98,2061.23,2018.98,2061.23,4703380000,2061.23
2014-12-17,1973.77,2016.75,1973.77,2012.89,4942370000,2012.89
2014-12-16,1986.71,2016.89,1972.56,1972.74,4958680000,1972.74
2014-12-15,2005.03,2018.69,1982.26,1989.63,4361990000,1989.63
2014-12-12,2030.36,2032.25,2002.33,2002.33,4157650000,2002.33
2014-12-11,2027.92,2055.53,2027.92,2035.33,3917950000,2035.33
2014-12-10,2058.86,2058.86,2024.26,2026.14,4114440000,2026.14
2014-12-09,2056.55,2060.60,2034.17,2059.82,3970150000,2059.82
2014-12-08,2074.84,2075.78,2054.27,2060.31,3800990000,2060.31
2014-12-05,2072.78,2079.47,2070.81,2075.37,3419620000,2075.37
2014-12-04,2073.64,2077.34,2062.34,2071.92,3408340000,2071.92
2014-12-03,2067.45,2076.28,2066.65,2074.33,3612680000,2074.33
2014-12-02,2053.77,2068.77,2053.77,2066.55,3686650000,2066.55
2014-12-01,2065.78,2065.78,2049.57,2053.44,4159010000,2053.44
2014-11-28,2074.78,2075.76,2065.06,2067.56,2504640000,2067.56
2014-11-26,2067.36,2073.29,2066.62,2072.83,2745260000,2072.83
2014-11-25,2070.15,2074.21,2064.75,2067.03,3392940000,2067.03
2014-11-24,2065.07,2070.17,2065.07,2069.41,3128060000,2069.41
2014-11-21,2057.46,2071.46,2056.75,2063.50,3916420000,2063.50
2014-11-20,2045.87,2053.84,2040.49,2052.75,3128290000,2052.75
2014-11-19,2051.16,2052.14,2040.37,2048.72,3390850000,2048.72
2014-11-18,2041.48,2056.08,2041.48,2051.80,3416190000,2051.80
2014-11-17,2038.29,2043.07,2034.46,2041.32,3152890000,2041.32
2014-11-14,2039.74,2042.22,2035.20,2039.82,3227130000,2039.82
2014-11-13,2039.21,2046.18,2030.44,2039.33,3455270000,2039.33
2014-11-12,2037.75,2040.33,2031.95,2038.25,3246650000,2038.25
2014-11-11,2038.20,2041.28,2035.28,2039.68,2958320000,2039.68
2014-11-10,2032.01,2038.70,2030.17,2038.26,3284940000,2038.26
2014-11-07,2032.36,2034.26,2025.07,2031.92,3704280000,2031.92
2014-11-06,2023.33,2031.61,2015.86,2031.21,3669770000,2031.21
2014-11-05,2015.29,2023.77,2014.42,2023.57,3766590000,2023.57
2014-11-04,2015.81,2015.98,2001.01,2012.10,3956260000,2012.10
2014-11-03,2018.21,2024.46,2013.68,2017.81,3555440000,2017.81
2014-10-31,2001.20,2018.19,2001.20,2018.05,4292290000,2018.05
2014-10-30,1979.49,1999.40,1974.75,1994.65,3586150000,1994.65
2014-10-29,1983.29,1991.40,1969.04,1982.30,3740350000,1982.30
2014-10-28,1964.14,1985.05,1964.14,1985.05,3653260000,1985.05
2014-10-27,1962.97,1964.64,1951.37,1961.63,3538860000,1961.63
2014-10-24,1951.59,1965.27,1946.27,1964.58,3078380000,1964.58
2014-10-23,1931.02,1961.95,1931.02,1950.82,3789250000,1950.82
2014-10-22,1941.29,1949.31,1926.83,1927.11,3761930000,1927.11
2014-10-21,1909.38,1942.45,1909.38,1941.28,3987090000,1941.28
